************************************************************************************
**  X-ray Anomalous Scattering Data.
**  			
**  Form factor for an atom: f = f0 + f' + if", where f0 is scattering-angle 
**  dependent and energy independent, f' and f" are the corrections along 
**  with energy which are energy-dependent but angle independent.
**  
**  The following data were downloaded from 
**     http://skuld.bmsc.washington.edu/scatter/AS_periodic.html.
**  Energy range: 1.0 - 24.9 KeV; Element Z: 1-92
**  Data set format: X-ray_Energy(KeV)   f'(electron)   f"(electron)   
**
**                                              ----   March 17, 2006
************************************************************************************


Element: H,  Z:  1
01-H data starts
 1.000        0.0000000         0.0001658
 1.100        0.0000000         0.0001325
 1.200        0.0000000         0.0001079
 1.300        0.0000000         0.0000892
 1.400        0.0000000         0.0000748
 1.500        0.0000000         0.0000635
 1.600        0.0000000         0.0000544
 1.700        0.0000000         0.0000471
 1.800        0.0000000         0.0000411
 1.900        0.0000000         0.0000361
 2.000        0.0000000         0.0000319
 2.100        0.0000000         0.0000283
 2.200        0.0000000         0.0000253
 2.300        0.0000000         0.0000228
 2.400        0.0000000         0.0000205
 2.500        0.0000000         0.0000186
 2.600        0.0000000         0.0000169
 2.700        0.0000000         0.0000154
 2.800        0.0000000         0.0000141
 2.900        0.0000000         0.0000130
 3.000        0.0000000         0.0000120
 3.100        0.0000000         0.0000110
 3.200        0.0000000         0.0000102
 3.300        0.0000000         0.0000095
 3.400        0.0000000         0.0000088
 3.500        0.0000000         0.0000082
 3.600        0.0000000         0.0000077
 3.700        0.0000000         0.0000072
 3.800        0.0000000         0.0000067
 3.900        0.0000000         0.0000063
 4.000        0.0000000         0.0000059
 4.100        0.0000000         0.0000056
 4.200        0.0000000         0.0000053
 4.300        0.0000000         0.0000050
 4.400        0.0000000         0.0000047
 4.500        0.0000000         0.0000045
 4.600        0.0000000         0.0000042
 4.700        0.0000000         0.0000040
 4.800        0.0000000         0.0000038
 4.900        0.0000000         0.0000036
 5.000        0.0000000         0.0000034
 5.100        0.0000000         0.0000033
 5.200        0.0000000         0.0000031
 5.300        0.0000000         0.0000030
 5.400        0.0000000         0.0000029
 5.500        0.0000000         0.0000027
 5.600        0.0000000         0.0000026
 5.700        0.0000000         0.0000025
 5.800        0.0000000         0.0000024
 5.900        0.0000000         0.0000023
 6.000        0.0000000         0.0000022
 6.100        0.0000000         0.0000021
 6.200        0.0000000         0.0000020
 6.300        0.0000000         0.0000020
 6.400        0.0000000         0.0000019
 6.500        0.0000000         0.0000018
 6.600        0.0000000         0.0000017
 6.700        0.0000000         0.0000017
 6.800        0.0000000         0.0000016
 6.900        0.0000000         0.0000016
 7.000        0.0000000         0.0000015
 7.100        0.0000000         0.0000015
 7.200        0.0000000         0.0000014
 7.300        0.0000000         0.0000014
 7.400        0.0000000         0.0000013
 7.500        0.0000000         0.0000013
 7.600        0.0000000         0.0000012
 7.700        0.0000000         0.0000012
 7.800        0.0000000         0.0000012
 7.900        0.0000000         0.0000011
 8.000        0.0000000         0.0000011
 8.100        0.0000000         0.0000011
 8.200        0.0000000         0.0000010
 8.300        0.0000000         0.0000010
 8.400        0.0000000         0.0000010
 8.500        0.0000000         0.0000009
 8.600        0.0000000         0.0000009
